"","reportdate","title"
"42","2022-04-01","【最新】4月1日3时至5日3时期间，浦东、浦南及毗邻区域后续分区防控有关交通这样安排→"
"43","2022-04-01","【提示】2人以上吃饭最需要关注的细节是什么？来看这几点提示→"
"44","2022-04-01","浦西筛查工作今天全面展开，请市民朋友在此期间做到足不出户、居家办公、减少流动"
"45","2022-04-01","4月1日市、区主要医疗机构暂停医疗服务情况"
"46","2022-04-01","3月31日（0-24时）本市各区确诊病例、无症状感染者居住地信息"
"47","2022-04-01","上海2022年3月31日，新增本土新冠肺炎确诊病例358例 新增本土无症状感染者4144例 新增境外输入性新冠肺炎确诊病例7例 新增境外输入性无症状感染者1例 治愈出院26例"
"48","2022-03-31","【便民】重要提示：请市民提前在健康云登记核酸检测并截屏保存，以便明起检测"
"49","2022-03-31","【提示】新一轮核酸筛查要求封控管理期间人员“足不出户”，相关各区公告执行要求在此"
"50","2022-03-31","【提示】抗原检测结果如何登记？如何查询？来看攻略→"
"51","2022-03-31","【最新】关于浦东、浦南及毗邻区域后续“阶梯式管控方案”的十问十答"
"52","2022-03-31","4月2日零时起，离沪人员除须持有48小时内核酸检测阴性证明外，还须提供24小时内抗原检测阴性证明"
"53","2022-03-31","疫情防控最吃劲阶段，安全生产工作决不能有丝毫松懈！国务院召开电视电话会议，龚正在上海分会场讲话"
"54","2022-03-31","浦东、浦南及毗邻区域后续分区防控有关事项通告"
"55","2022-03-31","小区核酸筛查自我防护要点"
"56","2022-03-31","3月31日市、区主要医疗机构暂停医疗服务情况"
"57","2022-03-31","封控区域就医保障、交通安排、核酸筛查要注意哪些事项……今天的发布会关注这些热点问题"
"58","2022-03-31","3月30日（0-24时）本市各区确诊病例、无症状感染者居住地信息"
"59","2022-03-31","【最新】按时按质完成第一批地区核酸筛查，有序开展第二批地区筛查"
"60","2022-03-31","明起浦西地区核酸筛查全面展开，全力做好市民生活服务保障，全力回应解决市民群众诉求"
"61","2022-03-31","市委市政府致信全体市民：感谢理解支持和付出，让我们共同守护家园守护城市"
"62","2022-03-31","上海2022年3月30日，新增本土新冠肺炎确诊病例355例 新增本土无症状感染者5298例 新增境外输入性新冠肺炎确诊病例3例 新增境外输入性无症状感染者1例 治愈出院29例"
"63","2022-03-30","坚决打赢疫情防控大仗硬仗！全市领导干部大会今晚举行，对疫情防控工作进行再动员再部署再落实"
"64","2022-03-30","市委常委会今天举行会议，研究部署下一步疫情防控重点工作"
"65","2022-03-30","【提示】生活物资保供人员核酸检测绿色通道发布"
"66","2022-03-30","封控区域的核酸筛查进展、重点场所的环境消毒、中医药的应用情况与效果……今天的发布会关注这些热点问题"
"67","2022-03-30","3月30日市、区主要医疗机构暂停医疗服务情况"
"68","2022-03-30","网课期间，何以解忧？“600号男神”喊你做好“加减乘除”四道题"
"69","2022-03-30","今天第一批封控区域将开展第二次核酸筛查，请市民务必保持排队间距，科学佩戴口罩！"
"70","2022-03-30","3月29日（0-24时）本市各区确诊病例、无症状感染者居住地信息"
"71","2022-03-30","上海2022年3月29日，新增本土新冠肺炎确诊病例326例 新增本土无症状感染者5656例 新增境外输入性新冠肺炎确诊病例3例 新增境外输入性无症状感染者2例 治愈出院45例"
"72","2022-03-29","拒不配合核酸检测需要依法承担法律责任，请关注疫情防控期间常见法律问题指引"
"73","2022-03-29","免租、帮扶、补贴、退税减税……今天的发布会介绍上海如何统筹各行业疫情防控和生产发展"
"74","2022-03-29","【提示】全力保障民生，各区疫情防控期间为民服务热线一览"
"75","2022-03-29","新一轮核酸筛查要求封控管理期间人员“足不出户”，相关各区公告执行要求"
"76","2022-03-29","封控区居民如何守护身心健康？居家锦囊护你周全！"
"77","2022-03-29","3月29日市、区主要医疗机构暂停医疗服务情况"
"78","2022-03-29","【最新】新一轮核酸筛查首日总体平稳有序，累计组织1.7万名采样人员，共筛查826万多人"
"79","2022-03-29","3月28日（0-24时）本市各区确诊病例、无症状感染者居住地信息"
"80","2022-03-29","昨日新增本土新冠肺炎确诊病例96例、无症状感染者4381例，新增境外输入性确诊病例11例、无症状感染者1例"
"81","2022-03-28","安全有序、就近就便参与疫情防控志愿服务工作！市志愿者协会向全市志愿服务组织和志愿者发出倡议"
"82","2022-03-28","李强龚正检查新一轮核酸筛查工作落实推进和生活物资、应急就医保障情况，慰问抗疫一线人员，感谢市民理解支持配合"
"83","2022-03-28","【便民】市安委会办公室关于做好全市新一轮核酸筛查期间安全生产工作的紧急提示"
"84","2022-03-28","【提示】本市新一轮核酸筛查开启，第一批封控区域居民服务热线电话一览"
"85","2022-03-28","为什么要开展这一轮核酸筛查？如何保障居民生活物资及医疗需求？今天的发布会为你解答"
"86","2022-03-28","3月28日市、区主要医疗机构暂停医疗服务情况"
"87","2022-03-28","本市核酸筛查区域交通管制通告"
"88","2022-03-28","今起全市分片开展新一轮核酸筛查，请广大市民按所在街道社区或单位通知要求，分时段有序参加核酸筛查"
"89","2022-03-28","【最新】3月27日（0-24时）本市各区确诊病例、无症状感染者居住地信息"
"90","2022-03-28","上海2022年3月27日，新增本土新冠肺炎确诊病例50例 新增本土无症状感染者3450例 新增境外输入性新冠肺炎确诊病例10例 新增境外输入性无症状感染者4例 治愈出院37例"
"91","2022-03-28","【提示】“上海人民建议征集”邀请您，为更好推进疫情防控工作贡献智慧力量"
"92","2022-03-28","【注意】3月28日至31日黄浦江以东、以南区域的上海地铁所有车站暂停运营"
"93","2022-03-28","【最新】重要提示：请市民提前在健康云登记核酸检测并截屏保存，以便明起检测"
"94","2022-03-28","3月28日5点至4月1日5点期间，封控区域内交通这样安排"
"95","2022-03-27","新一轮核酸筛查工作动员会今晚举行"
"96","2022-03-27","关于做好全市新一轮核酸筛查工作的通告"
"97","2022-03-27","抗原检测进展如何？对儿童患者群体的治疗和照顾如何？学生、家长怎样进行心理调适？今天的发布会为你解答"
"98","2022-03-27","【提示】新冠病毒抗原自测后的废弃物是什么垃圾？该怎么扔？"
"99","2022-03-27","3月27日市、区主要医疗机构暂停医疗服务情况"
"100","2022-03-27","本市将继续科学组织核酸和抗原检测，阻断疫情社区传播，两地调整为低风险地区"
"101","2022-03-27","3月26日（0-24时）本市各区确诊病例、无症状感染者居住地信息"
"102","2022-03-27","上海2022年3月26日，新增本土新冠肺炎确诊病例45例 新增本土无症状感染者2631例 新增境外输入性新冠肺炎确诊病例6例 新增境外输入性无症状感染者2例 治愈出院33例"
"103","2022-03-27","【便民】@市民朋友们，收下这份疫情期间的科学居家指南"
"104","2022-03-27","【图示】11张海报告诉你，疫情防控中，要特别注意哪些法律法规"
"105","2022-03-26","这两天核酸+抗原的筛查方式将会起到哪些作用？目前采取了哪些保供、稳价措施？今天的发布会详解"
"106","2022-03-26","各区“疫情防控工作问题建议征集”通道已开启！欢迎反映问题提出建议"
"107","2022-03-26","3月26日市、区主要医疗机构暂停医疗服务情况"
"108","2022-03-26","3月25日（0-24时）本市各区确诊病例、无症状感染者居住地信息"
"109","2022-03-26","对急诊、发热门诊、透析室、手术室、重症监护室、孕妇分娩室等，做到“非必要不封控”"
"110","2022-03-26","【提示】一人因变造核酸检测报告被上海警方依法处以行政拘留！"
"111","2022-03-26","本市发布关于疫情防控期间认定哄抬价格违法行为的指导意见"
"112","2022-03-26","新冠病毒抗原自测基本要求及流程"
"113","2022-03-26","上海2022年3月25日，新增本土新冠肺炎确诊病例38例 新增本土无症状感染者2231例 新增境外输入性新冠肺炎确诊病例9例 新增境外输入性无症状感染者2例 治愈出院21例  解除医学观察无症状感染者110例"
"114","2022-03-25","【提示】本市将切实抓好主副食品市场疫情防控和保供稳价工作"
"115","2022-03-25","【最新】关于“应检未检”人员“随申码”赋黄码，最新解答来了"
"116","2022-03-25","近期阳性感染者数量为何较多？“场所码”如何使用？口罩防得住奥密克戎吗？今天的发布会详解"
"117","2022-03-25","3月25日市、区主要医疗机构医疗服务暂停与恢复情况"
"118","2022-03-25","加强对防疫人员关心关爱，做好急诊服务告知和引导，保障群众急救需求"
"119","2022-03-25","在线开具“居家健康监测证明”服务已覆盖16个区"
"120","2022-03-25","关于网格化核酸筛查“应检未检”人员“随申码”赋黄码的提示"
"121","2022-03-25","3月24日（0-24时）本市各区确诊病例、无症状感染者居住地信息"
"122","2022-03-25","上海2022年3月24日，新增本土新冠肺炎确诊病例29例 新增本土无症状感染者1580例 新增境外输入性新冠肺炎确诊病例12例 新增境外输入性无症状感染者5例 治愈出院63例  解除医学观察无症状感染者209例"
"123","2022-03-24","【提示】外卖配送和快递从业人员新冠肺炎疫情健康防护指南来了！"
"124","2022-03-24","【便民】主要医院部分科室停开诊情况、老幼核酸助查……“随申办”移动端“防疫工具包”更新升级"
"125","2022-03-24","【提示】方便又快捷，核酸检测按照这三步走→"
"126","2022-03-24","核酸检测指南第三版有哪些调整？封控小区买菜就医如何保障？解封之后该注意哪些方面？今天的发布会详解"
"127","2022-03-24","3月24日市、区主要医疗机构医疗服务暂停与恢复情况"
"128","2022-03-24","3月23日（0-24时）本市各区确诊病例、无症状感染者居住地信息"
"129","2022-03-24","闵行区梅陇镇行南村三队、华漕镇许浦村三队、浦东新区康桥镇苗桥路935弄19号列为中风险地区"
"130","2022-03-24","上海2022年3月23日，新增本土新冠肺炎确诊病例4例 新增本土无症状感染者979例 新增境外输入性新冠肺炎确诊病例10例 新增境外输入性无症状感染者3例 治愈出院81例  解除医学观察无症状感染者230例"
"131","2022-03-23","扛起特殊责任拿出特殊担当坚决打赢疫情防控大仗硬仗！市委常委会部署疫情防控重点工作"
"132","2022-03-23","为什么小区核酸筛查后都呈阴性还不解封？嘉定轨交部分站点暂停后如何保障出行？今天的发布会详解"
"133","2022-03-23","两人因涉嫌编造、故意传播虚假信息罪被上海警方立案侦查！"
"134","2022-03-23","上海这四地列为中风险地区，浦东新区沪东新村街道长岛路281号调整为低风险地区"
"135","2022-03-23","3月23日市、区主要医疗机构医疗服务暂停与恢复情况"
"136","2022-03-23","3月22日（0-24时）本市各区确诊病例、无症状感染者居住地信息"
"137","2022-03-23","上海2022年3月22日，新增本土新冠肺炎确诊病例4例 新增本土无症状感染者977例 新增境外输入性新冠肺炎确诊病例10例 新增境外输入性无症状感染者4例 治愈出院23例  解除医学观察无症状感染者79例"
"138","2022-03-23","织密扎牢防控网络，全力保障基本民生！龚正今天检查疫情防控工作"
"139","2022-03-22","国务院联防联控机制派出督查组赴10省开展督查工作，李强龚正与第五督查组座谈"
"140","2022-03-22","不断提升疫情防控能力，坚决筑牢疫情防控坚实屏障！李强今天检查封控小区和核酸检测机构"
"141","2022-03-22","扩增集中隔离收治床位情况如何？为什么无症状感染者多？疫情期间如何缓解焦虑情绪？今天的发布会详解"
"142","2022-03-22","市精卫中心主任医师：无论在“决赛圈”内外，心理调适要有盼头、有放下、有自律、有念想"
"143","2022-03-22","3月22日市、区主要医疗机构医疗服务暂停与恢复情况"
"144","2022-03-22","3月24日是“世界防治结核病日” 本市肺结核疫情继续控制在全国最低水平"
"145","2022-03-22","浦东新区一地列为中风险地区，静安区北站街道河南北路233号调整为低风险地区，昨天326人出院创单日新高"
"146","2022-03-22","3月21日（0-24时）本市各区确诊病例、无症状感染者居住地信息"
"147","2022-03-22","上海2022年3月21日，新增本土新冠肺炎确诊病例31例 新增本土无症状感染者865例 新增境外输入性新冠肺炎确诊病例8例 新增境外输入性无症状感染者3例 治愈出院140例  解除医学观察无症状感染者186例"
"148","2022-03-21","疫情防控、氢能产业、水源安全，今天的市政府党组会议、常务会议研究这些重要事项"
"149","2022-03-21","非重点区域人员核酸筛查进展情况如何？志愿者怎么报名？市民如何加强预防？今天的发布会详解"
"150","2022-03-21","【最新】3月21日市、区主要医疗机构医疗服务暂停与恢复情况"
"151","2022-03-21","本市将继续坚持切块式、网格化原则，逐级开展后续核酸筛查及管控工作"
"152","2022-03-21","3月20日（0-24时）本市各区确诊病例、无症状感染者居住地信息"
"153","2022-03-21","上海2022年3月20日，新增本土新冠肺炎确诊病例24例 新增本土无症状感染者734例 新增境外输入性新冠肺炎确诊病例17例 新增境外输入性无症状感染者2例 治愈出院44例  解除医学观察无症状感染者53例"
"154","2022-03-20","3月20日市、区主要医疗机构医疗服务暂停与恢复情况"
"155","2022-03-20","重点区域的筛查结果如何？核酸检测能力能否满足筛查需求？今天的发布会聚焦这些热点"
"156","2022-03-20","@全体市民，收下这份健康提示→"
"157","2022-03-20","上海这三地列为中风险地区，徐汇区徐家汇街道漕溪北路1200号调整为低风险地区"
"158","2022-03-20","3月19日（0-24时）本市各区确诊病例、无症状感染者居住地信息"
"159","2022-03-20","上海2022年3月19日，新增本土新冠肺炎确诊病例17例 新增本土无症状感染者492例 新增境外输入性新冠肺炎确诊病例5例 新增境外输入性无症状感染者2例 治愈出院121例  解除医学观察无症状感染者68例"
"160","2022-03-19","上下同心坚定信心，坚决打赢疫情防控阻击战！市疫情防控工作领导小组今晚举行专题会议"
"161","2022-03-19","48小时后小区为何还没解封？定点医院能否满足收治需求？今天的发布会聚焦这些热点问题"
"162","2022-03-19","【辟谣】网传“上海中心市区要高空作业消毒”？谣言！"
"163","2022-03-19","3月19日市、区主要医疗机构医疗服务暂停与恢复情况"
"164","2022-03-19","【最新】一图读懂！上海开展非重点区域核酸筛查，帮您解答这些疑惑"
"165","2022-03-19","本市重点区域筛查发现感染者均及时管控，将动态调整下一步疫情控制措施"
"166","2022-03-19","本市严格按照“四早”“四集中”原则救治新冠病毒感染者，做好后备医疗资源储备"
"167","2022-03-19","《新闻1+1》丨对话邬惊雷：上海疫情如何“精准防控”？"
"168","2022-03-19","3月18日（0-24时）本市各区确诊病例、无症状感染者居住地信息"
"169","2022-03-19","上海2022年3月18日，新增本土新冠肺炎确诊病例8例 新增本土无症状感染者366例 新增境外输入性新冠肺炎确诊病例12例 新增境外输入性无症状感染者6例 治愈出院26例  解除医学观察无症状感染者15例"
"170","2022-03-18","市委常委会传达习近平总书记重要讲话精神，以时不我待的精神抓细抓实疫情防控各项工作"
"171","2022-03-18","重点区域核酸筛查整体进展如何？封控小区就医问题如何解决？今天的发布会聚焦这些热点问题"
"172","2022-03-18","3月18日市、区主要医疗机构医疗服务暂停与恢复情况"
"173","2022-03-18","从3月18日起三天内，我市对非重点区域内人员分时分批次开展一次免费核酸检测"
"174","2022-03-18","上海2022年3月17日，新增本土新冠肺炎确诊病例57例 新增本土无症状感染者203例 新增境外输入性新冠肺炎确诊病例10例 新增境外输入性无症状感染者2例 治愈出院54例  解除医学观察无症状感染者38例"
"175","2022-03-17","@所有市民，核酸登记二维码，请提前截图保存备用"
"176","2022-03-17","优化核酸筛查组织实施，持续提高收治能力和救治水平！龚正实地检查疫情防控工作"
"177","2022-03-17","越是疫情防控关键时期，越要把市民基本生活保障放在心上抓在手上！李强今天检查生活物资保供情况"
"178","2022-03-17","网格化筛查重点区域怎么划定？新版诊疗方案有哪些调整？今天的发布会聚焦这些热点问题"
"179","2022-03-17","【便民】居家的朋友莫慌张，四张健康处方快快收藏~"
"180","2022-03-17","【最新】3月17日市、区主要医疗机构医疗服务暂停与恢复情况"
"181","2022-03-17","交大战疫形势正向好发展，宁光院士：尽快实现“动态清零”，是近期最关键目标"
"182","2022-03-17","昨天上海新增本土确诊病例具体情况公布，3月18日0时起，嘉定区马陆镇宝安公路3705弄1号调整为低风险地区"
"183","2022-03-17","上海2022年3月16日，新增本土新冠肺炎确诊病例8例 新增本土无症状感染者150例 新增境外输入性新冠肺炎确诊病例15例 新增境外输入性无症状感染者6例 治愈出院33例  解除医学观察无症状感染者19例"
"184","2022-03-17","关于网格化核酸筛查， “十问十答”为你解惑"
"185","2022-03-17","如何对重点区域人群展开新一轮核酸筛查？如何提升核酸检测能力？今天的发布会聚焦这些热点"
"186","2022-03-16","【最新】健康云有时为什么会打不开？怎么解决？"
"187","2022-03-16","上海新增1例本土确诊病例和19例本土无症状感染者，两地列为中风险地区"
"188","2022-03-16","“随申办”上线“居家健康监测证明”服务，部分区已可使用"
"189","2022-03-16","错峰上下班、阶段性居家办公、高校采取的防控举措……今天的发布会聚焦这些热点"
"190","2022-03-16","关于印发新型冠状病毒肺炎诊疗方案（试行第九版）的通知"
"191","2022-03-16","上海2022年3月15日，新增本土新冠肺炎确诊病例5例 新增本土无症状感染者197例 新增境外输入性新冠肺炎确诊病例10例 新增境外输入性无症状感染者1例 治愈出院33例  解除医学观察无症状感染者13例"
"192","2022-03-15","感谢抗疫一线人员坚守付出，感谢市民理解配合！李强实地检查疫情应急处置工作"
"193","2022-03-15","上海近期本土疫情最新通报"
"194","2022-03-15","上海新增4例本土确诊病例和101例本土无症状感染者，普陀区石泉社区文化活动中心今天15时起调整为低风险地区"
"195","2022-03-15","上海市已成立调查组，正对华亭宾馆集中隔离点开展专项调查"
"196","2022-03-15","上海目前没有采取“封城”“停摆”等措施"
"197","2022-03-15","近期感染者人数为何上升？离沪抵沪如何查验核酸报告？今天的发布会聚焦这些热点"
"198","2022-03-15","力量要更集中、措施要更果断、处置要更高效！市疫情防控工作领导小组专题会议今天召开"
"199","2022-03-15","上海2022年3月14日，新增本土新冠肺炎确诊病例9例 新增本土无症状感染者130例 新增境外输入性新冠肺炎确诊病例12例 新增境外输入性无症状感染者3例 治愈出院15例  解除医学观察无症状感染者9例"
"200","2022-03-14","【提示】安全做核酸检测，记住这三句话→"
"201","2021-11-05","上海2021年11月4日，无新增本地新冠肺炎确诊病例 新增境外输入3例  治愈出院2例"
"202","2021-11-04","中共中央国务院隆重举行国家科学技术奖励大会 习近平出席大会并为最高奖获得者等颁奖 李克强讲话 王沪宁出席 韩正主持"
"203","2021-11-04","上海2021年11月3日，无新增本地新冠肺炎确诊病例 新增境外输入3例  治愈出院2例"
"204","2021-11-03","上海2021年11月2日，无新增本地新冠肺炎确诊病例 新增境外输入5例  治愈出院4例"
"205","2021-11-02","疫情防控、民生商品价格……今天的市政府常务会议聚焦这些关键词"
"206","2021-11-02","【注意】防疫不能松懈！请收好这份小贴士→"
"207","2021-11-02","迪士尼乐园和迪士尼小镇在沪相关人员排查核酸检测结果均为阴性！"
"208","2021-11-02","上海2021年11月1日，无新增本地新冠肺炎确诊病例 新增境外输入5例  治愈出院9例"
"209","2021-11-01","习近平出席二十国集团领导人第十六次峰会第一阶段会议并发表重要讲话"
"210","2021-11-01","最新！迪士尼乐园和迪士尼小镇33863名相关人员核酸检测结果均为阴性！"
"211","2021-11-01","上海2021年10月31日，无新增本地新冠肺炎确诊病例 新增境外输入9例  治愈出院2例"
"212","2021-10-31","通告：10月30日、31日进入上海迪士尼乐园和迪士尼小镇的所有人员请立即进行核酸检测"
"213","2021-10-31","接外省协查通报，迪士尼乐园和迪士尼小镇配合疫情排查暂停开放"
"214","2021-10-31","上海2021年10月30日，无新增本地新冠肺炎确诊病例 新增境外输入9例  治愈出院6例"
"215","2021-10-30","上海2021年10月29日，无新增本地新冠肺炎确诊病例 新增境外输入5例  治愈出院4例"
"216","2021-10-29","上海进一步加强对国内疫情中高风险地区来沪返沪人员健康管理"
"217","2021-10-29","本市全面启动新冠病毒疫苗加强免疫接种"
"218","2021-10-29","上海2021年10月28日，无新增本地新冠肺炎确诊病例 新增境外输入3例  治愈出院2例"
"219","2021-10-29","再细化、再完善、再提升，踢好“临门一脚”！龚正今天实地检查进博会城市服务保障工作"
"220","2021-10-28","第四届进博会进入冲刺阶段，来看筹备进展情况！"
"221","2021-10-28","上海市推出首批24小时核酸检测服务机构"
"222","2021-10-28","李克强主持召开国务院常务会议 部署对制造业中小微企业等实施阶段性税收缓缴措施 进一步加大助企纾困力度等"
"223","2021-10-28","上海2021年10月27日，无新增本地新冠肺炎确诊病例 无新增境外输入病例  治愈出院3例"
"224","2021-10-27","权威发布！上海将启动常住本市的6-11岁人群新冠疫苗登记预约接种"
"225","2021-10-27","守“条例”，“沪”健康——与君共话《上海市公共卫生应急管理条例》"
"226","2021-10-27","上海2021年10月26日，无新增本地新冠肺炎确诊病例 新增境外输入2例  治愈出院4例"
"227","2021-10-26","全文丨习近平在中华人民共和国恢复联合国合法席位50周年纪念会议上的讲话"
"228","2021-10-26","上海2021年10月25日，无新增本地新冠肺炎确诊病例 新增境外输入2例  治愈出院6例"
"229","2021-10-25","上海2021年10月24日，无新增本地新冠肺炎确诊病例 新增境外输入1例  治愈出院4例"
"230","2021-10-24","上海2021年10月23日，无新增本地新冠肺炎确诊病例 新增境外输入4例  治愈出院1例"
"231","2021-10-23","上海2021年10月22日，无新增本地新冠肺炎确诊病例 新增境外输入3例  治愈出院5例"
"232","2021-10-22","从严从紧抓好疫情防控，精益求精做好服务保障！李强今天实地检查进博会筹备工作"
"233","2021-10-22","上海2021年10月21日，无新增本地新冠肺炎确诊病例 新增境外输入2例  治愈出院8例"
"234","2021-10-21","市卫生健康委第四届进博会医疗卫生保障一线临时党委成立"
"235","2021-10-21","李克强主持召开国务院常务会议 听取民生用能保供情况汇报"
"236","2021-10-21","上海2021年10月20日，无新增本地新冠肺炎确诊病例 新增境外输入6例  治愈出院3例"
"237","2021-10-20","【提示】@第四届进博会持证人员，核酸检测服务须知请查收"
"238","2021-10-20","【最新】第四届进博会来沪参展参会人员防疫须知公布"
"239","2021-10-20","第四届进博会新冠肺炎疫情防控工作总体方案公布"
"240","2021-10-20","上海2021年10月19日，无新增本地新冠肺炎确诊病例 新增境外输入7例  治愈出院7例"
"241","2021-10-19","上海进一步加强对国内疫情中高风险地区来沪返沪人员健康管理"
"242","2021-10-19","上海2021年10月18日，无新增本地新冠肺炎确诊病例 新增境外输入5例  治愈出院1例"
"243","2021-10-18","外省通报离沪旅游的6名确诊病例和1名无症状感染者，其在沪相关人员和场所核酸检测结果均为阴性"
"244","2021-10-18","上海2021年10月17日，无新增本地新冠肺炎确诊病例 新增境外输入6例  治愈出院5例"
"245","2021-10-17","外省通报2名离沪旅游人员核酸检测阳性，我市对其在沪相关人员和场所落实防控措施"
"246","2021-10-17","上海2021年10月16日，无新增本地新冠肺炎确诊病例 新增境外输入5例  治愈出院1例"
"247","2021-10-16","上海2021年10月15日，无新增本地新冠肺炎确诊病例 新增境外输入4例  治愈出院4例"
"248","2021-10-15","宗明副市长调研进博会医疗卫生防疫保障工作，要求问题导向、全链协同、高效推进，确保万无一失！"
"249","2021-10-15","习近平：坚持和完善人民代表大会制度 不断发展全过程人民民主"
"250","2021-10-15","本市举办“敬老月”系列主题活动"
"251","2021-10-15","上海2021年10月14日，无新增本地新冠肺炎确诊病例 新增境外输入1例  治愈出院5例"
"252","2021-10-14","上海2021年10月13日，无新增本地新冠肺炎确诊病例 新增境外输入1例  治愈出院1例"
"253","2021-10-13","全文丨习近平在《生物多样性公约》第十五次缔约方大会领导人峰会上的主旨讲话"
"254","2021-10-13","上海2021年10月12日，无新增本地新冠肺炎确诊病例 新增境外输入2例  治愈出院5例"
"255","2021-10-12","上海2021年10月11日，无新增本地新冠肺炎确诊病例 新增境外输入3例  治愈出院9例"
"256","2021-10-11","上海2021年10月10日，无新增本地新冠肺炎确诊病例 新增境外输入3例  治愈出院3例"
"257","2021-10-10","上海2021年10月9日，无新增本地新冠肺炎确诊病例 新增境外输入6例  治愈出院12例"
"258","2021-10-09","李克强主持召开国务院常务会议 进一步部署做好今冬明春电力和煤炭等供应 保障群众基本生活和经济平稳运行等"
"259","2021-10-09","上海2021年10月8日，无新增本地新冠肺炎确诊病例 新增境外输入2例  治愈出院2例"
